total_net_assets,fund_year3_expense_projection,fund_year5_expense_projection,fund_year10_expense_projection,morningstar_return_rating,load_adj_return_3years,load_adj_return_5years,load_adj_return_10years,sustainability_score,sustainability_rank,esg_score
429818944.0,263.0,459.0,1024.0,2.0,0.0706,0.1026,0.0932,22.28,13.0,22.28
56628776.0,340.0,590.0,1306.0,3.0,0.1214,0.1112,0.0877,21.49,13.0,21.49
194308976.0,372.0,644.0,1420.0,3.0,0.1031,0.1036,0.0884,24.77,88.0,24.77
4294496512.0,224.0,390.0,871.0,3.0,0.125,0.1372,0.1157,24.71,79.0,24.71
217266464.0,963.0,1248.0,2060.0,3.0,0.0722,0.1011,0.0978,26.28,84.0,26.28
429818944.0,263.0,459.0,1024.0,2.0,0.0697,0.1026,0.0946,22.28,13.0,22.28
231485056.0,381.0,683.0,1541.0,4.0,0.1613,0.1522,0.1039,24.22,43.0,24.22
157896640.0,853.0,1175.0,2085.0,2.0,0.0514,0.0488,0.0398,23.23,44.0,23.23
157896640.0,677.0,1171.0,2532.0,1.0,0.0587,0.0499,0.0365,23.23,44.0,23.23
17898108928.0,402.0,696.0,1533.0,4.0,0.2421,0.2315,0.1786,21.2,51.0,21.2
157896640.0,369.0,651.0,1453.0,2.0,0.0694,0.0606,0.0471,23.23,44.0,23.23
10289847.0,1264.0,1781.0,3192.0,2.0,-0.0083,0.021,0.027,20.92,8.0,20.92
10289847.0,1242.0,1914.0,3702.0,2.0,-0.0046,0.0213,0.0246,20.92,8.0,20.92
10289847.0,635.0,1131.0,2498.0,2.0,0.021,0.0423,0.0419,20.92,8.0,20.92
6279069184.0,955.0,1232.0,2021.0,3.0,0.0581,0.1026,0.0934,28.39,62.0,28.39
3353266688.0,287.0,498.0,1108.0,4.0,0.0927,0.1241,0.1084,24.88,59.0,24.88
3353266688.0,393.0,681.0,1500.0,3.0,0.089,0.1201,0.1047,24.88,59.0,24.88
3353266688.0,490.0,845.0,1845.0,3.0,0.0856,0.1167,0.1014,24.88,59.0,24.88
6279069184.0,287.0,498.0,1108.0,3.0,0.083,0.1196,0.104,28.39,62.0,28.39
3353266688.0,259.0,450.0,1002.0,3.0,0.0935,0.125,0.109,24.88,59.0,24.88
437883552.0,727.0,949.0,1586.0,2.0,0.071,0.0833,0.0824,23.68,54.0,23.68
437883552.0,551.0,949.0,2062.0,1.0,0.0782,0.0843,0.079,23.68,54.0,23.68
